personID,endTime_UTC,audiobookName,chapterName,authorName,msPlayed
9,2025-11-08 04:34:00,Morning Star,Morning Star,Pierce Brown,660
9,2025-11-08 04:34:00,The Fellowship of the Ring,The Fellowship of the Ring,J.R.R. Tolkien,1690
9,2025-11-08 04:34:00,Whispers of the Deep,Whispers of the Deep,Emma Hamm,1794
9,2025-11-08 04:34:00,The Hobbit,The Hobbit,J.R.R. Tolkien,1290
9,2025-11-08 04:34:00,Heir of Fire,Heir of Fire,Sarah J. Maas,1960
9,2025-11-08 04:34:00,The Serpent and the Wings of Night,The Serpent and the Wings of Night,Carissa Broadbent,3000
9,2025-11-08 04:34:00,Animal Farm,Animal Farm,George Orwell,1200
9,2025-11-08 04:34:00,Dracula,Dracula,Bram Stoker,1550
9,2025-11-08 04:34:00,107 Days,107 Days,Kamala Harris,2141
9,2025-11-08 04:34:00,I'm Glad My Mom Died,I'm Glad My Mom Died,Jennette McCurdy,1140
9,2025-11-08 04:34:00,A Court of Mist and Fury,A Court of Mist and Fury,Sarah J. Maas,1160
9,2025-11-08 04:34:00,The Great Gatsby,The Great Gatsby,F. Scott Fitzgerald,2690
9,2025-11-08 04:34:00,The Poppy War,The Poppy War,R. F. Kuang,140
9,2025-11-08 04:34:00,The Silent Patient,The Silent Patient,Alex Michaelides,1720
9,2025-11-08 19:18:00,The Song of Achilles,Chapter 1,Madeline Miller,119379
9,2025-11-11 05:03:00,Throne of Glass,Throne of Glass,Sarah J. Maas,500
9,2025-11-11 05:03:00,Katabasis,Katabasis,R. F. Kuang,650
9,2025-11-11 05:03:00,Fourth Wing,Fourth Wing,Rebecca Yarros,140
9,2025-11-11 05:03:00,The Serpent and the Wings of Night,The Serpent and the Wings of Night,Carissa Broadbent,800
9,2025-11-11 05:03:00,Dracula,Dracula,Bram Stoker,2261
9,2025-11-11 05:03:00,The Ashes and the Star-Cursed King,The Ashes and the Star-Cursed King,Carissa Broadbent,3090
9,2025-11-11 05:03:00,Lights Out,Lights Out,Navessa Allen,171
9,2025-11-11 05:04:00,A Court of Wings and Ruin,A Court of Wings and Ruin,Sarah J. Maas,230
9,2025-11-11 05:04:00,The Fellowship of the Ring,The Fellowship of the Ring,J.R.R. Tolkien,7050
9,2025-11-11 05:04:00,Whispers of the Deep,Whispers of the Deep,Emma Hamm,221
9,2025-11-11 05:04:00,Whispers of the Deep,Whispers of the Deep,Emma Hamm,1221
9,2025-11-11 05:04:00,Heir of Fire,Heir of Fire,Sarah J. Maas,711
9,2025-11-11 05:04:00,A Court of Thorns and Roses,A Court of Thorns and Roses,Sarah J. Maas,3760
9,2025-11-11 05:04:00,A Court of Thorns and Roses,A Court of Thorns and Roses,Sarah J. Maas,291
9,2025-11-11 05:04:00,A Game of Thrones,A Game of Thrones,George R. R. Martin,641
9,2025-11-11 05:04:00,Fourth Wing,Fourth Wing,Rebecca Yarros,791
9,2025-11-11 05:04:00,Golden Son,Golden Son,Pierce Brown,171
9,2025-11-11 05:04:00,Gild,Gild,Raven Kennedy,761
9,2025-11-11 05:04:00,107 Days,107 Days,Kamala Harris,780
9,2025-11-11 05:04:00,Bride,Bride,Ali Hazelwood,3611
9,2025-11-11 05:04:00,Nocticadia,Nocticadia,Keri Lake,5091
9,2025-11-11 05:04:00,Nocticadia,Nocticadia,Keri Lake,4071
9,2025-11-11 05:04:00,Mate,Mate,Ali Hazelwood,13440
9,2025-11-11 05:05:00,Psycho Shifters,Psycho Shifters,Jasmine Mas,160
9,2025-11-11 05:05:00,Psycho Shifters,Psycho Shifters,Jasmine Mas,200
9,2025-11-11 05:05:00,House of Earth and Blood (1 of 2) [Dramatized Adaptation],House of Earth and Blood (1 of 2) [Dramatized Adaptation],Sarah J. Maas,671
9,2025-11-11 05:05:00,The Atlas Six,The Atlas Six,Olivie Blake,1460
9,2025-11-11 05:05:00,The Atlas Six,The Atlas Six,Olivie Blake,1411
9,2025-11-11 05:05:00,A Short History of the World,A Short History of the World,H. G. Wells,160
9,2025-11-11 05:05:00,A Short History of the World,A Short History of the World,H. G. Wells,721
9,2025-11-11 05:05:00,A Short History of the World,A Short History of the World,H. G. Wells,2281
